Flight ID,Flight Number,Date,Route ID,Origin,Destination,Aircraft Type,Scheduled Departure,Actual Departure,Scheduled Arrival,Actual Arrival,Departure Delay Minutes,Flight Status,Passengers,Capacity,Load Factor,Day of Week,Month,Departure Hour,Peak Period,On-Time Flag,Route,Origin City,Origin Region,Destination City,Destination Region,Origin Airport Name,Origin Country,Destination Airport Name,Destination Country,Aircraft Name,Aircraft Age,Aircraft Category,Year,Month Number,Month Name,Year Month,Quarter,Day,Day of Week Number,Weekend Flag,Operated Flag,Cancelled Flag,On Time Flight Flag
FLT-20250901-001,AI0521,2025-09-01,52,BLR,IXM,A320neo,2025-09-01 17:20:00,2025-09-01 17:20:00,2025-09-01 19:24:00,2025-09-01 19:24:00,0.0,Operated,162,186,0.871,Monday,2025-09,17,Peak,1.0,BLR-IXM,Bengaluru,South,Madurai,South,Kempegowda International,India,Madurai International,India,Airbus A320neo,5,Narrow-body,2025,9,September,2025-09,Q3,1,1,Weekday,1,0,1
FLT-20250901-002,AI0292,2025-09-01,29,MAA,CCU,B737 MAX 8,2025-09-01 13:45:00,2025-09-01 13:51:00,2025-09-01 15:55:00,2025-09-01 16:09:00,6.0,Operated,173,189,0.9153,Monday,2025-09,13,Off-Peak,1.0,MAA-CCU,Chennai,South,Kolkata,East,Chennai International,India,Netaji Subhas Chandra Bose International,India,Boeing 737 MAX 8,3,Narrow-body,2025,9,September,2025-09,Q3,1,1,Weekday,1,0,1
FLT-20250901-003,AI0153,2025-09-01,15,BOM,COK,ATR72-600,2025-09-01 05:10:00,2025-09-01 05:24:00,2025-09-01 07:06:00,2025-09-01 07:21:00,14.0,Operated,46,72,0.6389,Monday,2025-09,5,Off-Peak,1.0,BOM-COK,Mumbai,West,Kochi,South,Chhatrapati Shivaji Maharaj International,India,Cochin International,India,ATR 72-600,6,Regional,2025,9,September,2025-09,Q3,1,1,Weekday,1,0,1
FLT-20250901-004,AI0434,2025-09-01,43,COK,BLR,B737 MAX 8,2025-09-01 11:30:00,2025-09-01 12:08:00,2025-09-01 15:05:00,2025-09-01 15:44:00,38.0,Operated,129,189,0.6825,Monday,2025-09,11,Off-Peak,0.0,COK-BLR,Kochi,South,Bengaluru,South,Cochin International,India,Kempegowda International,India,Boeing 737 MAX 8,3,Narrow-body,2025,9,September,2025-09,Q3,1,1,Weekday,1,0,0
FLT-20250901-005,AI0085,2025-09-01,8,DEL,PNQ,A320neo,2025-09-01 11:50:00,2025-09-01 11:50:00,2025-09-01 14:22:00,2025-09-01 14:26:00,0.0,Operated,154,186,0.828,Monday,2025-09,11,Off-Peak,1.0,DEL-PNQ,Delhi,North,Pune,West,Indira Gandhi International,India,Pune International,India,Airbus A320neo,5,Narrow-body,2025,9,September,2025-09,Q3,1,1,Weekday,1,0,1
FLT-20250901-006,AI0216,2025-09-01,21,BLR,HYD,A321neo,2025-09-01 21:40:00,,2025-09-02 00:14:00,,,Cancelled,0,220,0.0,Monday,2025-09,21,Peak,,BLR-HYD,Bengaluru,South,Hyderabad,South,Kempegowda International,India,Rajiv Gandhi International,India,Airbus A321neo,4,Narrow-body,2025,9,September,2025-09,Q3,1,1,Weekday,0,1,0
FLT-20250901-007,AI0397,2025-09-01,39,CCU,DEL,A321neo,2025-09-01 09:25:00,2025-09-01 09:44:00,2025-09-01 12:32:00,2025-09-01 12:59:00,19.0,Operated,202,220,0.9182,Monday,2025-09,9,Peak,0.0,CCU-DEL,Kolkata,East,Delhi,North,Netaji Subhas Chandra Bose International,India,Indira Gandhi International,India,Airbus A321neo,4,Narrow-body,2025,9,September,2025-09,Q3,1,1,Weekday,1,0,0
FLT-20250901-008,AI0198,2025-09-01,19,BOM,JAI,A321neo,2025-09-01 13:00:00,2025-09-01 13:10:00,2025-09-01 15:16:00,2025-09-01 15:33:00,10.0,Operated,145,220,0.6591,Monday,2025-09,13,Off-Peak,1.0,BOM-JAI,Mumbai,West,Jaipur,North,Chhatrapati Shivaji Maharaj International,India,Jaipur International,India,Airbus A321neo,4,Narrow-body,2025,9,September,2025-09,Q3,1,1,Weekday,1,0,1
FLT-20250901-009,AI0231,2025-09-01,23,BLR,GOI,B737-800,2025-09-01 22:30:00,2025-09-01 22:33:00,2025-09-02 01:43:00,2025-09-02 01:52:00,3.0,Operated,159,174,0.9138,Monday,2025-09,22,Off-Peak,1.0,BLR-GOI,Bengaluru,South,Goa,West,Kempegowda International,India,Manohar International,India,Boeing 737-800,10,Narrow-body,2025,9,September,2025-09,Q3,1,1,Weekday,1,0,1
FLT-20250901-010,AI0112,2025-09-01,11,BOM,BLR,A320-200,2025-09-01 09:55:00,2025-09-01 10:06:00,2025-09-01 12:36:00,2025-09-01 12:56:00,11.0,Operated,136,180,0.7556,Monday,2025-09,9,Peak,1.0,BOM-BLR,Mumbai,West,Bengaluru,South,Chhatrapati Shivaji Maharaj International,India,Kempegowda International,India,Airbus A320-200,8,Narrow-body,2025,9,September,2025-09,Q3,1,1,Weekday,1,0,1
